订单号,sku,数量
CK202004190000001,1560,2000
CK202004270000001,5845,400
CK202004270000001,6616,400
CK202004280000001,1771,21400
CK202004280000001,6952,21400
CK202004280000001,6549,21400
CK202004280000002,5354,6015
CK202004280000002,3803,6015
CK202004290000001,3848,42900
CK202004290000001,1537,42900
CK202004290000001,6549,42900
CK202004290000001,3405,42900
CK202004290000002,3848,37700
CK202004290000002,1537,37700
CK202004290000002,3405,37700
CK202004290000003,2862,20
CK202004300000001,4962,45114
CK202004300000001,1445,45114
CK202004300000001,4938,45114
CK202004300000001,2907,45114
CK202004300000002,2044,48688
CK202004300000002,7138,48688
CK202004300000002,8793,48688
CK202004300000002,5070,48688
CK202004300000002,1890,48688
CK202004300000002,5091,48688
CK202004300000003,4386,6180
CK202004300000004,1747,1552
CK202004300000004,3749,1552
CK202004300000004,6344,1552
CK202005020000001,2044,112710
CK202005020000001,4962,112710
CK202005020000001,1724,112710
CK202005020000001,4938,112710
CK202005020000001,5070,112710
CK202005020000001,2907,112710
CK202005020000001,2093,112710
CK202005020000001,1890,112710
CK202005020000001,6026,112710
CK202005020000001,5122,112710
CK202005020000001,5091,112710
CK202005020000001,6059,112710
CK202005020000002,2044,112092
CK202005020000002,4962,112092
CK202005020000002,1724,112092
CK202005020000002,4938,112092
CK202005020000002,5070,112092
CK202005020000002,2907,112092
CK202005020000002,2093,112092
CK202005020000002,1890,112092
CK202005020000002,6026,112092
CK202005020000002,5122,112092
CK202005020000002,5091,112092
CK202005020000002,6059,112092
CK202005030000001,4099,215855
CK202005030000001,3247,215855
CK202005030000001,1835,215855
CK202005030000001,1090,215855
CK202005030000001,4436,215855
CK202005030000001,3772,215855
CK202005030000001,3073,215855
CK202005030000001,3432,215855
CK202005030000001,5368,215855
CK202005030000001,2093,215855
CK202005030000001,2865,215855
CK202005030000001,3983,215855
CK202005030000001,2676,215855
CK202005030000001,2787,215855
CK202005030000001,3481,215855
CK202005030000001,1488,215855
CK202005030000001,3773,215855
CK202005030000001,2989,215855
CK202005030000001,4613,215855
CK202005030000001,2348,215855
CK202005030000001,3912,215855
CK202005030000001,3523,215855
CK202005030000002,4099,200621
CK202005030000002,3247,200621
CK202005030000002,1835,200621
CK202005030000002,1090,200621
CK202005030000002,4436,200621
CK202005030000002,3772,200621
CK202005030000002,3073,200621
CK202005030000002,3432,200621
CK202005030000002,5368,200621
CK202005030000002,2093,200621
CK202005030000002,2865,200621
CK202005030000002,3983,200621
CK202005030000002,2676,200621
CK202005030000002,2787,200621
CK202005030000002,3481,200621
CK202005030000002,1488,200621
CK202005030000002,3773,200621
CK202005030000002,2989,200621
CK202005030000002,2348,200621
CK202005030000002,3912,200621
CK202005030000002,3523,200621
CK202005040000001,1022,904676
CK202005040000001,945,904676
CK202005040000001,2734,904676
CK202005040000001,603,904676
CK202005040000001,378,904676
CK202005040000001,595,904676
CK202005040000001,2072,904676
CK202005040000001,5863,904676
CK202005040000001,2856,904676
CK202005040000001,99,904676
CK202005040000001,1614,904676
CK202005040000001,1250,904676
CK202005040000001,723,904676
CK202005040000001,1021,904676
CK202005040000001,1715,904676
CK202005040000001,1288,904676
CK202005040000001,2085,904676
CK202005040000001,4649,904676
CK202005040000001,1168,904676
CK202005040000001,3288,904676
CK202005040000001,4697,904676
CK202005040000002,1022,903345
CK202005040000002,945,903345
CK202005040000002,2734,903345
CK202005040000002,603,903345
CK202005040000002,378,903345
CK202005040000002,595,903345
CK202005040000002,2072,903345
CK202005040000002,5863,903345
CK202005040000002,2856,903345
CK202005040000002,99,903345
CK202005040000002,1614,903345
CK202005040000002,1250,903345
CK202005040000002,723,903345
CK202005040000002,1021,903345
CK202005040000002,1715,903345
CK202005040000002,1288,903345
CK202005040000002,2085,903345
CK202005040000002,4649,903345
CK202005040000002,1168,903345
CK202005040000002,3288,903345
CK202005040000002,4697,903345
CK202005040000003,945,1047
CK202005040000003,1288,1047
CK202005040000004,1724,293880
CK202005040000004,3594,293880
CK202005040000004,2311,293880
CK202005040000004,894,293880
CK202005040000004,2836,293880
CK202005040000004,3177,293880
CK202005040000004,5120,293880
CK202005040000004,5881,293880
CK202005040000004,4403,293880
CK202005040000004,693,293880
CK202005040000004,4762,293880
