sim time,N_{sku},sku strategy,storage policy,lambda,shape,N_{stack},N_{BP},N_{TC},R_{lock},T_w(s),T_s(s),RECO(kJ),TREC(kJ),SCEO(kJ),TSEC(kJ),TEC(kJ),U_{BP},U_{TC},MR_{per},MRTiers,Finish rate(R),Finish rate(S),stocks rate,lock rate,BP utility,TC utility,R jobs,S jobs,Reshuffle time part,queue length
2022-03-07 18:11:27,15,multi-sku,random,100,10×40×8,3200,10,3,0.50%,137.7,172.8,6.13,168506.60,2.42,67305.95,235812.55, 35.48%, 0.01%,65.16%,2.66,99.99%,99.98%,69.69%,0.50%,"['PSB-0:33.20%', 'PSB-1:36.13%', 'PSB-2:35.09%', 'PSB-3:36.44%', 'PSB-4:34.77%', 'PSB-5:37.27%', 'PSB-6:36.11%', 'PSB-7:36.11%', 'PSB-8:34.39%', 'PSB-9:35.26%']","['PST-0:0.00%', 'PST-1:0.00%', 'PST-2:0.03%']",27481,27772,62.86%,3.8
2022-03-07 18:13:17,15,multi-sku,random,100,10×40×8,3200,10,3,0.50%,132.2,171.8,6.09,167932.31,2.42,66687.27,234619.57, 35.32%, 0.01%,64.82%,2.64,99.98%,99.99%,64.25%,0.50%,"['PSB-0:36.59%', 'PSB-1:34.29%', 'PSB-2:35.88%', 'PSB-3:32.86%', 'PSB-4:34.92%', 'PSB-5:36.77%', 'PSB-6:34.23%', 'PSB-7:34.89%', 'PSB-8:37.24%', 'PSB-9:35.56%']","['PST-0:0.00%', 'PST-1:0.00%', 'PST-2:0.02%']",27570,27598,62.73%,3.6
2022-03-07 18:15:15,15,multi-sku,random,100,10×40×8,3200,10,3,0.25%,146.0,174.6,6.13,169665.10,2.42,66914.36,236579.46, 36.24%, 0.01%,65.65%,2.70,99.98%,99.98%,60.47%,0.25%,"['PSB-0:36.37%', 'PSB-1:35.50%', 'PSB-2:37.51%', 'PSB-3:35.93%', 'PSB-4:35.77%', 'PSB-5:35.93%', 'PSB-6:37.11%', 'PSB-7:36.33%', 'PSB-8:37.03%', 'PSB-9:34.91%']","['PST-0:0.00%', 'PST-1:0.00%', 'PST-2:0.03%']",27698,27666,63.18%,4.0
2022-03-07 18:17:14,15,multi-sku,random,100,10×40×8,3200,10,3,0.00%,141.0,172.9,5.99,166980.75,2.41,66223.56,233204.31, 35.95%, 0.01%,65.54%,2.66,99.98%,100.00%,49.91%,0.00%,"['PSB-0:36.59%', 'PSB-1:36.90%', 'PSB-2:33.73%', 'PSB-3:34.69%', 'PSB-4:35.91%', 'PSB-5:35.24%', 'PSB-6:36.31%', 'PSB-7:35.88%', 'PSB-8:38.28%', 'PSB-9:35.96%']","['PST-0:0.00%', 'PST-1:0.00%', 'PST-2:0.03%']",27863,27448,62.85%,3.9
2022-03-07 18:19:10,15,multi-sku,random,100,10×40×8,3200,10,3,0.00%,150.9,177.2,6.25,173424.26,2.42,67379.76,240804.01, 37.06%, 0.01%,66.70%,2.74,99.97%,99.99%,64.28%,0.00%,"['PSB-0:36.52%', 'PSB-1:36.11%', 'PSB-2:37.03%', 'PSB-3:36.79%', 'PSB-4:35.74%', 'PSB-5:37.78%', 'PSB-6:38.42%', 'PSB-7:37.29%', 'PSB-8:38.14%', 'PSB-9:36.78%']","['PST-0:0.00%', 'PST-1:0.00%', 'PST-2:0.03%']",27765,27801,63.50%,4.2
2022-03-07 18:21:08,15,multi-sku,random,100,10×40×8,3200,10,3,0.50%,160.6,178.9,6.49,180031.50,2.43,68053.49,248084.99, 37.53%, 0.01%,67.08%,2.75,99.97%,99.99%,70.69%,0.50%,"['PSB-0:37.65%', 'PSB-1:37.48%', 'PSB-2:36.06%', 'PSB-3:37.36%', 'PSB-4:37.96%', 'PSB-5:36.90%', 'PSB-6:39.03%', 'PSB-7:39.09%', 'PSB-8:36.89%', 'PSB-9:36.85%']","['PST-0:0.00%', 'PST-1:0.00%', 'PST-2:0.02%']",27741,28008,63.50%,4.5
2022-03-07 18:23:07,15,multi-sku,random,100,10×40×8,3200,10,3,0.25%,152.3,174.6,6.24,173023.55,2.43,68006.16,241029.72, 36.32%, 0.01%,65.73%,2.69,99.99%,99.99%,72.12%,0.25%,"['PSB-0:36.09%', 'PSB-1:35.30%', 'PSB-2:35.67%', 'PSB-3:37.29%', 'PSB-4:36.78%', 'PSB-5:36.20%', 'PSB-6:35.65%', 'PSB-7:35.59%', 'PSB-8:37.48%', 'PSB-9:37.15%']","['PST-0:0.00%', 'PST-1:0.00%', 'PST-2:0.02%']",27730,27983,63.03%,4.2
2022-03-07 18:25:01,15,multi-sku,random,100,10×40×8,3200,10,3,0.50%,142.3,172.9,6.06,168943.58,2.41,67063.51,236007.08, 36.00%, 0.01%,65.02%,2.68,100.00%,99.99%,61.69%,0.50%,"['PSB-0:35.46%', 'PSB-1:35.28%', 'PSB-2:36.17%', 'PSB-3:35.12%', 'PSB-4:37.39%', 'PSB-5:36.27%', 'PSB-6:34.72%', 'PSB-7:35.50%', 'PSB-8:36.75%', 'PSB-9:37.36%']","['PST-0:0.00%', 'PST-1:0.00%', 'PST-2:0.04%']",27873,27828,63.08%,4.0
2022-03-07 18:26:55,15,multi-sku,random,100,10×40×8,3200,10,3,0.25%,143.1,175.6,6.26,172011.76,2.43,67303.63,239315.39, 36.29%, 0.01%,66.56%,2.69,99.94%,99.97%,70.22%,0.25%,"['PSB-0:37.56%', 'PSB-1:34.47%', 'PSB-2:35.95%', 'PSB-3:35.65%', 'PSB-4:37.66%', 'PSB-5:35.66%', 'PSB-6:36.63%', 'PSB-7:36.52%', 'PSB-8:36.44%', 'PSB-9:36.33%']","['PST-0:0.00%', 'PST-1:0.00%', 'PST-2:0.02%']",27498,27746,63.05%,4.0
2022-03-07 18:28:55,15,multi-sku,random,100,10×40×8,3200,10,3,0.25%,147.9,175.7,6.18,172464.20,2.43,67513.01,239977.21, 36.81%, 0.01%,66.21%,2.71,99.98%,99.99%,59.88%,0.25%,"['PSB-0:37.17%', 'PSB-1:35.43%', 'PSB-2:37.09%', 'PSB-3:37.48%', 'PSB-4:36.99%', 'PSB-5:37.69%', 'PSB-6:36.80%', 'PSB-7:36.04%', 'PSB-8:36.00%', 'PSB-9:37.40%']","['PST-0:0.00%', 'PST-1:0.00%', 'PST-2:0.04%']",27907,27812,63.31%,4.1
2022-03-08 18:37:34,15,multi-sku,random,100,10×40×8,3200,9,3,0.50%,141.4,172.9,6.22,174740.21,2.66,74056.10,248796.31, 40.02%, 0.81%,64.98%,2.63,99.98%,99.98%,57.25%,0.50%,"['PSB-0:40.74%', 'PSB-1:39.88%', 'PSB-2:39.23%', 'PSB-3:41.22%', 'PSB-4:40.48%', 'PSB-5:40.14%', 'PSB-6:39.65%', 'PSB-7:39.47%', 'PSB-8:39.40%']","['PST-0:0.27%', 'PST-1:0.26%', 'PST-2:1.89%']",28073,27880,62.35%,3.9
2022-03-08 18:38:52,15,multi-sku,random,100,10×40×8,3200,9,3,0.25%,125.8,169.6,5.92,165084.96,2.67,73285.92,238370.88, 38.55%, 0.84%,63.98%,2.54,99.96%,99.98%,46.09%,0.25%,"['PSB-0:37.91%', 'PSB-1:38.17%', 'PSB-2:39.84%', 'PSB-3:38.44%', 'PSB-4:39.07%', 'PSB-5:38.46%', 'PSB-6:37.01%', 'PSB-7:39.03%', 'PSB-8:38.99%']","['PST-0:0.29%', 'PST-1:0.28%', 'PST-2:1.95%']",27882,27447,61.84%,3.5
2022-03-08 18:40:03,15,multi-sku,random,100,10×40×8,3200,9,3,0.25%,149.6,176.0,6.51,179765.53,2.68,74591.95,254357.48, 40.34%, 0.78%,65.32%,2.69,99.97%,99.98%,70.72%,0.25%,"['PSB-0:40.71%', 'PSB-1:40.13%', 'PSB-2:41.01%', 'PSB-3:40.80%', 'PSB-4:40.98%', 'PSB-5:41.57%', 'PSB-6:40.63%', 'PSB-7:37.74%', 'PSB-8:39.53%']","['PST-0:0.26%', 'PST-1:0.27%', 'PST-2:1.81%']",27615,27829,62.68%,4.2
2022-03-08 18:41:14,15,multi-sku,random,100,10×40×8,3200,9,3,0.25%,160.5,179.9,6.60,183190.39,2.67,74658.61,257849.00, 41.74%, 0.78%,67.22%,2.75,99.98%,99.99%,69.22%,0.25%,"['PSB-0:42.67%', 'PSB-1:42.27%', 'PSB-2:41.53%', 'PSB-3:41.90%', 'PSB-4:41.91%', 'PSB-5:41.26%', 'PSB-6:41.59%', 'PSB-7:42.02%', 'PSB-8:40.47%']","['PST-0:0.28%', 'PST-1:0.27%', 'PST-2:1.78%']",27736,27966,63.14%,4.5
2022-03-08 18:42:25,15,multi-sku,random,100,10×40×8,3200,9,3,0.75%,140.0,171.7,6.19,172057.87,2.67,74226.66,246284.53, 39.24%, 0.80%,64.51%,2.60,99.98%,99.98%,62.94%,0.75%,"['PSB-0:39.57%', 'PSB-1:39.26%', 'PSB-2:39.92%', 'PSB-3:39.96%', 'PSB-4:39.77%', 'PSB-5:37.49%', 'PSB-6:38.96%', 'PSB-7:39.62%', 'PSB-8:38.60%']","['PST-0:0.27%', 'PST-1:0.24%', 'PST-2:1.90%']",27808,27798,62.09%,3.9
