sim time,N_{sku},sku strategy,storage policy,lambda,shape,N_{stack},N_{BP},N_{TC},R_{lock},T_w(s),T_s(s),RECO(kJ),TREC(kJ),SCEO(kJ),TSEC(kJ),TEC(kJ),U_{BP},U_{TC},MR_{per},MRTiers,Finish rate(R),Finish rate(S),stocks rate,lock rate,BP utility,TC utility,R jobs,S jobs,Reshuffle time part,queue length
2021-11-1710:33:19,15,multi-sku,determined,100,10×64×5,3200,6,3,0.00%,47.9,121.5,6.77,188261.74,5.33,148015.49,336277.23,30.56%,4.41%,0.02%,1.00,99.99%,99.98%,39.44%,0.00%,"['PSB-0:30.83%','PSB-1:30.49%','PSB-2:29.96%','PSB-3:30.43%','PSB-4:30.73%','PSB-5:30.91%']","['PST-0:1.29%','PST-1:1.22%','PST-2:10.73%']",27792,27776,33.45%,1.3
2021-11-1710:33:55,15,multi-sku,zoned,100,10×64×5,3200,6,3,0.47%,88.5,144.0,6.76,187899.38,4.33,120259.29,308158.67,43.40%,4.79%,45.70%,1.73,99.98%,99.98%,54.41%,0.47%,"['PSB-0:43.10%','PSB-1:43.50%','PSB-2:43.46%','PSB-3:43.96%','PSB-4:43.39%','PSB-5:42.97%']","['PST-0:1.22%','PST-1:1.21%','PST-2:11.93%']",27790,27776,50.77%,2.4
2021-11-1710:33:57,15,multi-sku,random,100,10×64×5,3200,6,3,0.31%,110.8,154.9,6.95,193253.00,4.29,119205.78,312458.79,48.38%,4.86%,57.10%,1.84,99.99%,99.99%,44.47%,0.31%,"['PSB-0:48.82%','PSB-1:48.55%','PSB-2:48.53%','PSB-3:48.19%','PSB-4:47.74%','PSB-5:48.45%']","['PST-0:1.21%','PST-1:1.23%','PST-2:12.15%']",27791,27779,52.71%,3.0
2021-11-1700:12:20,15,multi-sku,determined,100,10×53×6,3180,6,3,0.00%,41.7,115.7,6.09,169337.94,4.80,133360.92,302698.86,28.85%,3.96%,0.01%,1.00,99.99%,99.99%,49.56%,0.00%,"['PSB-0:28.82%','PSB-1:28.69%','PSB-2:28.33%','PSB-3:29.26%','PSB-4:29.01%','PSB-5:28.97%']","['PST-0:1.18%','PST-1:1.21%','PST-2:9.49%']",27793,27780,35.36%,
2021-11-1700:12:41,15,multi-sku,zoned,100,10×53×6,3180,6,3,0.57%,92.9,145.3,6.46,179405.26,4.00,111029.12,290434.39,44.56%,4.38%,47.43%,1.88,99.98%,99.98%,53.43%,0.57%,"['PSB-0:45.09%','PSB-1:44.18%','PSB-2:44.23%','PSB-3:44.69%','PSB-4:44.60%','PSB-5:44.60%']","['PST-0:1.16%','PST-1:1.18%','PST-2:10.80%']",27789,27776,53.21%,
2021-11-1700:12:41,15,multi-sku,random,100,10×53×6,3180,6,3,0.57%,141.4,164.4,6.94,192778.93,4.03,111875.13,304654.06,53.19%,4.53%,61.68%,2.13,99.98%,99.97%,42.89%,0.57%,"['PSB-0:53.01%','PSB-1:53.21%','PSB-2:53.30%','PSB-3:53.30%','PSB-4:53.45%','PSB-5:52.83%']","['PST-0:1.17%','PST-1:1.16%','PST-2:11.25%']",27790,27773,56.44%,
2021-11-1700:11:58,15,multi-sku,determined,100,10×45×7,3150,6,3,0.00%,41.6,115.3,5.82,161873.09,4.67,129683.22,291556.31,28.47%,3.65%,0.02%,1.00,99.99%,99.99%,42.35%,0.00%,"['PSB-0:28.62%','PSB-1:28.12%','PSB-2:28.13%','PSB-3:28.55%','PSB-4:28.88%','PSB-5:28.52%']","['PST-0:1.18%','PST-1:1.13%','PST-2:8.64%']",27793,27778,36.23%,
2021-11-1700:12:18,15,multi-sku,zoned,100,10×45×7,3150,6,3,0.67%,106.7,150.1,6.42,178366.73,3.79,105295.24,283661.97,47.07%,4.07%,49.52%,2.08,99.98%,99.98%,52.35%,0.67%,"['PSB-0:47.00%','PSB-1:48.04%','PSB-2:47.53%','PSB-3:46.56%','PSB-4:46.68%','PSB-5:46.60%']","['PST-0:1.11%','PST-1:1.15%','PST-2:9.94%']",27790,27776,55.65%,
2021-11-1700:12:22,15,multi-sku,random,100,10×45×7,3150,6,3,0.00%,220.6,177.8,7.20,200074.52,3.85,107038.41,307112.93,59.61%,4.30%,66.26%,2.46,99.98%,99.99%,43.84%,0.00%,"['PSB-0:58.98%','PSB-1:60.35%','PSB-2:58.59%','PSB-3:60.34%','PSB-4:59.47%','PSB-5:59.90%']","['PST-0:1.07%','PST-1:1.08%','PST-2:10.75%']",27790,27779,59.71%,
2021-11-1700:20:15,15,multi-sku,determined,100,10×40×8,3200,6,3,0.00%,37.6,112.3,5.47,152115.42,4.38,121803.77,273919.19,27.61%,3.38%,0.02%,1.00,99.99%,99.99%,49.53%,0.00%,"['PSB-0:27.45%','PSB-1:27.61%','PSB-2:27.50%','PSB-3:27.68%','PSB-4:28.06%','PSB-5:27.36%']","['PST-0:1.16%','PST-1:1.14%','PST-2:7.85%']",27793,27779,37.66%,
2021-11-1710:28:53,15,multi-sku,zoned,100,10×40×8,3200,6,3,0.25%,110.4,150.5,6.34,176211.62,3.62,100601.33,276812.95,47.47%,3.78%,49.42%,2.12,99.99%,99.99%,53.81%,0.25%,"['PSB-0:47.24%','PSB-1:47.55%','PSB-2:47.32%','PSB-3:47.66%','PSB-4:47.37%','PSB-5:47.68%']","['PST-0:1.11%','PST-1:1.12%','PST-2:9.11%']",27791,27778,56.47%,3.0
2021-11-1700:09:27,15,multi-sku,random,100,10×40×8,3200,6,3,1.00%,276.8,183.5,7.32,203374.89,3.74,103788.50,307163.39,62.34%,4.04%,66.75%,2.62,99.99%,99.98%,44.50%,1.00%,"['PSB-0:62.78%','PSB-1:62.06%','PSB-2:62.45%','PSB-3:62.70%','PSB-4:61.95%','PSB-5:62.12%']","['PST-0:1.02%','PST-1:1.07%','PST-2:10.02%']",27791,27776,61.01%,
2021-11-1708:17:18,15,multi-sku,determined,100,10×35×9,3150,6,3,0.00%,38.3,113.5,5.38,149593.55,4.37,121313.76,270907.32,27.72%,3.16%,0.02%,1.00,99.99%,99.99%,43.97%,0.00%,"['PSB-0:27.80%','PSB-1:27.36%','PSB-2:27.77%','PSB-3:27.63%','PSB-4:27.58%','PSB-5:28.17%']","['PST-0:1.13%','PST-1:1.09%','PST-2:7.25%']",27793,27778,37.78%,
2021-11-1708:17:25,15,multi-sku,zoned,100,10×35×9,3150,6,3,0.57%,131.7,156.4,6.43,178718.93,3.60,100121.34,278840.27,50.08%,3.55%,51.15%,2.27,99.99%,99.99%,51.68%,0.57%,"['PSB-0:49.51%','PSB-1:49.79%','PSB-2:50.96%','PSB-3:50.01%','PSB-4:49.74%','PSB-5:50.47%']","['PST-0:1.08%','PST-1:1.07%','PST-2:8.49%']",27793,27779,58.08%,
2021-11-1708:17:32,15,multi-sku,random,100,10×35×9,3150,6,3,0.00%,378.1,190.2,7.48,207883.38,3.64,100984.18,308867.57,65.48%,3.83%,67.31%,2.80,99.98%,99.98%,44.54%,0.00%,"['PSB-0:65.54%','PSB-1:64.93%','PSB-2:65.88%','PSB-3:65.71%','PSB-4:64.93%','PSB-5:65.89%']","['PST-0:0.97%','PST-1:0.95%','PST-2:9.56%']",27789,27777,62.38%,
2021-11-1708:40:27,15,multi-sku,determined,100,10×32×10,3200,6,3,0.00%,36.6,111.8,5.18,143848.61,4.21,117069.52,260918.13,27.23%,3.01%,0.02%,1.00,99.99%,99.99%,49.56%,0.00%,"['PSB-0:27.03%','PSB-1:26.93%','PSB-2:27.46%','PSB-3:27.70%','PSB-4:27.15%','PSB-5:27.09%']","['PST-0:1.13%','PST-1:1.10%','PST-2:6.79%']",27793,27779,41.10%,
2021-11-1708:40:36,15,multi-sku,zoned,100,10×32×10,3200,6,3,0.31%,169.1,164.8,6.64,184522.74,3.60,100031.50,284554.23,53.72%,3.46%,52.76%,2.50,99.99%,99.99%,52.28%,0.31%,"['PSB-0:53.45%','PSB-1:53.67%','PSB-2:53.99%','PSB-3:54.47%','PSB-4:54.05%','PSB-5:52.70%']","['PST-0:1.00%','PST-1:1.06%','PST-2:8.32%']",27792,27779,59.79%,
2021-11-1708:40:51,15,multi-sku,random,100,10×32×10,3200,6,3,0.00%,1874.9,206.7,8.05,223779.71,3.57,99210.53,322990.24,72.99%,3.64%,70.60%,3.11,99.96%,99.96%,45.22%,0.00%,"['PSB-0:73.35%','PSB-1:73.03%','PSB-2:72.60%','PSB-3:73.25%','PSB-4:72.26%','PSB-5:73.47%']","['PST-0:0.92%','PST-1:0.86%','PST-2:9.14%']",27784,27772,64.49%,
2021-11-1708:40:50,15,multi-sku,determined,100,10×29×11,3190,6,3,0.00%,38.1,114.0,5.20,144604.23,4.29,119122.56,263726.78,27.63%,2.91%,0.03%,1.00,99.99%,99.99%,45.02%,0.00%,"['PSB-0:27.68%','PSB-1:27.28%','PSB-2:27.64%','PSB-3:27.33%','PSB-4:27.86%','PSB-5:27.98%']","['PST-0:1.07%','PST-1:1.08%','PST-2:6.58%']",27793,27779,40.13%,
2021-11-1708:41:01,15,multi-sku,zoned,100,10×29×11,3190,6,3,1.03%,178.2,167.0,6.71,186605.34,3.59,99694.61,286299.95,54.53%,3.31%,52.55%,2.53,99.98%,99.98%,51.47%,1.03%,"['PSB-0:53.85%','PSB-1:53.79%','PSB-2:55.05%','PSB-3:55.18%','PSB-4:53.91%','PSB-5:55.43%']","['PST-0:1.06%','PST-1:0.97%','PST-2:7.92%']",27790,27777,60.16%,
2021-11-1710:03:38,15,multi-sku,random,100,10×29×11,3190,6,3,0.34%,6775.9,220.3,8.63,80238.89,3.50,32579.26,112818.15,26.46%,1.13%,68.48%,3.38,95.93%,96.01%,45.58%,0.34%,"['PSB-0:26.62%','PSB-1:26.41%','PSB-2:26.63%','PSB-3:25.96%','PSB-4:26.21%','PSB-5:26.90%']","['PST-0:0.27%','PST-1:0.27%','PST-2:2.85%']",9298,9306,65.98%,194.8
2021-11-1710:35:01,50,multi-sku,zoned,100,10×40×8,3200,6,3,0.25%,295.0,185.8,7.52,208903.85,3.63,100783.97,309687.81,63.66%,4.15%,67.05%,2.69,99.98%,99.97%,48.97%,0.25%,"['PSB-0:63.73%','PSB-1:63.64%','PSB-2:63.38%','PSB-3:63.62%','PSB-4:64.20%','PSB-5:63.37%']","['PST-0:1.04%','PST-1:1.03%','PST-2:10.39%']",27789,27774,61.57%,8.2
2021-11-1710:33:11,50,multi-sku,random,100,10×40×8,3200,6,3,0.00%,3061.9,213.1,8.45,45380.76,3.72,20090.16,65470.92,14.66%,0.80%,74.95%,3.06,97.60%,97.51%,45.84%,0.00%,"['PSB-0:14.71%','PSB-1:14.41%','PSB-2:14.43%','PSB-3:14.44%','PSB-4:14.94%','PSB-5:15.03%']","['PST-0:0.17%','PST-1:0.18%','PST-2:2.05%']",5370,5402,63.93%,86.0
2021-11-1710:41:32,50,multi-sku,determined,100,40×100×8,32000,6,3,0.00%,112.5,167.5,12.67,352027.65,10.64,295592.97,647620.62,42.47%,16.09%,0.00%,nan,99.98%,99.99%,49.96%,0.00%,"['PSB-0:42.67%','PSB-1:42.94%','PSB-2:42.27%','PSB-3:42.74%','PSB-4:42.12%','PSB-5:42.10%']","['PST-0:9.87%','PST-1:9.83%','PST-2:28.55%']",27790,27779,nan%,3.1
2021-11-1710:45:52,50,multi-sku,zoned,100,40×100×8,32000,6,3,0.08%,24506.8,220.0,13.98,373607.14,8.86,236061.83,609668.98,67.92%,16.48%,54.99%,2.58,96.13%,95.85%,53.66%,0.08%,"['PSB-0:67.85%','PSB-1:67.38%','PSB-2:68.02%','PSB-3:68.29%','PSB-4:67.96%','PSB-5:68.04%']","['PST-0:9.69%','PST-1:9.92%','PST-2:29.82%']",26720,26630,52.43%,696.7
2021-11-1710:50:43,50,multi-sku,random,100,40×100×8,32000,6,3,0.05%,158930.0,258.6,15.45,356615.28,9.11,209835.17,566450.45,72.84%,14.81%,62.56%,2.93,83.04%,82.92%,44.92%,0.05%,"['PSB-0:72.19%','PSB-1:72.41%','PSB-2:72.96%','PSB-3:73.28%','PSB-4:72.88%','PSB-5:73.28%']","['PST-0:7.89%','PST-1:8.02%','PST-2:28.53%']",23081,23036,54.55%,4474.3
2021-11-17 14:39:41,15,multi-sku,random,100,10×26×12,3120,6,3,0.00%,18710.9,231.6,9.10,63825.57,3.38,23722.98,87548.55, 21.28%, 0.78%,65.90%,3.60,91.59%,92.09%,45.67%,0.00%,"['PSB-0:21.11%', 'PSB-1:21.16%', 'PSB-2:21.49%', 'PSB-3:21.31%', 'PSB-4:21.62%', 'PSB-5:20.99%']","['PST-0:0.20%', 'PST-1:0.20%', 'PST-2:1.94%']",7016,7011,67.14%,527.7
2021-11-17 16:04:57,15,multi-sku,zoned,100,10×40×8,3200,5,3,0.50%,244.1,153.9,6.77,188056.04,4.00,111198.96,299255.00, 58.14%, 4.98%,49.36%,2.17,99.98%,99.99%,53.87%,0.50%,"['PSB-0:58.49%', 'PSB-1:58.04%', 'PSB-2:57.80%', 'PSB-3:57.60%', 'PSB-4:58.79%']","['PST-0:1.32%', 'PST-1:1.29%', 'PST-2:12.34%']",27790,27778,56.34%,6.7
2021-11-17 16:05:34,15,multi-sku,random,100,10×40×8,3200,5,3,0.00%,41984.7,191.0,7.86,123323.23,3.88,61178.36,184501.60, 44.36%, 2.72%,62.41%,2.76,92.01%,92.13%,47.59%,0.00%,"['PSB-0:44.26%', 'PSB-1:44.28%', 'PSB-2:44.50%', 'PSB-3:44.76%', 'PSB-4:44.00%']","['PST-0:0.60%', 'PST-1:0.62%', 'PST-2:6.93%']",15683,15771,61.61%,1186.0
2021-11-17 16:05:07,15,multi-sku,zoned,100,10×40×8,3200,7,3,0.00%,99.0,151.5,5.92,164516.29,3.28,91179.15,255695.44, 41.43%, 2.69%,50.68%,2.23,99.99%,99.99%,53.84%,0.00%,"['PSB-0:41.88%', 'PSB-1:40.62%', 'PSB-2:40.92%', 'PSB-3:42.19%', 'PSB-4:41.24%', 'PSB-5:41.81%', 'PSB-6:41.32%']","['PST-0:0.86%', 'PST-1:0.83%', 'PST-2:6.37%']",27792,27778,57.70%,2.7
2021-11-17 16:05:13,15,multi-sku,random,100,10×40×8,3200,7,3,0.50%,169.3,180.5,6.81,189247.77,3.38,93804.45,283052.22, 52.70%, 2.81%,66.22%,2.64,99.98%,99.98%,44.50%,0.50%,"['PSB-0:53.05%', 'PSB-1:54.19%', 'PSB-2:52.25%', 'PSB-3:52.22%', 'PSB-4:51.77%', 'PSB-5:52.75%', 'PSB-6:52.67%']","['PST-0:0.79%', 'PST-1:0.83%', 'PST-2:6.80%']",27790,27777,61.69%,4.7
